target_id_matrix,Gene,qval,Log2FC,GF1,GF2,GF3,GF4,GF5,BIF1,BIF2,BIF3,BIF4,BIF5
ENSMUSG00000036478,Btg1,4.45E-06,-1.224196791,3021.354839,2790.553554,1096.459442,2887.534069,3029.276764,793.0562,485.2714455,919.7873845,582.6752258,858.9161659
ENSMUSG00000020108,Ddit4,0.002637469,-1.225593189,1165.232452,1139.939457,252.7731787,1074.175162,1271.143041,244.4436769,175.3714576,448.7842449,236.6867046,218.1189633
ENSMUSG00000052974,Cyp2f2,0.002306145,-1.227941349,61.50306791,51.36259816,61.93660821,63.2528867,66.74667867,13.51542885,5.265355518,19.83820081,25.87560724,42.30447769
ENSMUSG00000063760,Rnf217,1.80E-06,-1.22806521,295.4265123,443.4411788,221.521222,232.0218351,414.7817804,106.2798595,50.94589831,122.2334822,71.75569778,124.0447539
ENSMUSG00000024042,Sik1,0.000281182,-1.229736052,525.6722257,593.5932017,137.3639134,483.7885207,568.7218552,142.4886944,86.33086683,131.743841,115.4042232,132.8614733
ENSMUSG00000014813,Stc1,2.81E-06,-1.231421717,46.47469272,31.92776487,30.33278144,59.19898672,32.6232861,8.695624869,7.837830509,15.16765838,7.496863947,19.98036305
ENSMUSG00000006930,Hap1,0.004200779,-1.231802793,10.62248135,19.6879664,8.889206278,11.74110417,10.98413984,3.124520976,4.828128745,7.260408288,3.472319332,0.552597596
ENSMUSG00000067613,Krt83,0.006377111,-1.232322432,24.69967834,8.337499189,12.937204,34.7619631,22.94302412,13.52818603,2.764908957,2.505353132,4.532103861,7.031501327
ENSMUSG00000022468,Endou,0.00128245,-1.234827391,17.57337468,14.19691224,7.366200462,15.32465173,17.50884194,3.868286788,1.306361481,5.968354793,2.856719503,6.738223817
ENSMUSG00000039911,Spsb1,0.000234886,-1.237246166,13.43338791,10.38950105,6.525291478,10.82661353,13.22795883,3.601609736,2.477089188,2.728447446,2.170746362,2.739042497
ENSMUSG00000037580,Gch1,7.15E-08,-1.238450788,347.0527527,535.8213599,206.4230111,331.0257096,514.0200628,96.56376246,81.56157074,133.3417343,91.69769441,136.400131
ENSMUSG00000027219,Slc28a2,3.42E-06,-1.240271721,86.24910553,160.5021276,235.1983194,85.61446736,124.2061799,32.85013839,27.43240678,58.4282562,31.05843635,40.85769384
ENSMUSG00000040498,Igsf23,0.047757877,-1.240984226,16.49455115,10.9845649,105.2738064,14.45455389,11.78828455,5.37491876,1.610041399,6.461854205,9.65161268,8.244828325
ENSMUSG00000038260,Trpm4,3.31E-10,-1.242612373,292.2796028,136.236242,200.8703615,269.7762974,227.1974181,47.63384309,60.79343101,56.00197083,69.53150305,84.62675424
ENSMUSG00000028307,Aldob,4.32E-06,-1.243771553,5675.037913,6097.542898,2793.472394,5997.71081,6555.810377,1469.089227,839.9857321,1917.444639,1352.129482,2362.936902
ENSMUSG00000061086,Myl4,7.33E-05,-1.245243771,61.88959872,62.37372267,20.00363556,79.17208921,59.51330359,22.76799887,15.52147156,12.92459073,13.86439151,10.07556953
ENSMUSG00000057135,Scimp,0.038063856,-1.247428682,10.58282245,8.77214813,2.806867317,10.16346769,13.00077552,2.151878916,0,3.990554152,3.970546914,3.09387878
ENSMUSG00000029605,Oas1b,0.000109882,-1.248675207,78.39934879,97.43707769,25.14041487,52.87893617,90.4120231,23.4336895,10.6953818,18.86026315,16.93283534,20.16070985
ENSMUSG00000021210,Akr1c6,0.00484674,-1.252175309,106.4875496,123.6956246,70.21235014,127.5681455,149.4659287,36.36294988,8.817559323,47.56768975,27.55876229,73.88585906
ENSMUSG00000022594,Lynx1,0.008951519,-1.252930145,4.01353786,4.492881684,1.133216009,3.036233814,4.161323027,0.789395994,0,0.86560816,0.725555733,0.569654282
ENSMUSG00000024401,Tnf,0.039351466,-1.254726645,11.34413942,15.1742082,6.907284127,9.86851382,6.567172182,0,2.095553318,5.868532565,3.435922702,5.340097863
ENSMUSG00000025481,Urah,0.000164163,-1.258519088,389.7254175,307.7154194,281.6487276,460.4571675,399.8581366,94.72219964,43.45379551,120.1834972,94.71499392,240.3961968
ENSMUSG00000039196,Orm1,0.001397271,-1.259188002,28.55423539,48.48290221,30.30492765,45.74660049,52.43028123,28.01923569,5.878372882,18.73651917,5.354902819,9.157666399
ENSMUSG00000056035,Cyp3a11,0.026269603,-1.262320641,2076.041225,6197.047751,855.3072042,2188.758232,6571.572453,1052.250865,292.1599121,955.3372901,787.3147358,1239.279217
ENSMUSG00000026193,Fn1,2.41E-11,-1.26418143,33150.37154,29303.28407,20573.979,31578.07915,27569.59058,6515.463637,5289.862297,9852.877014,7707.714238,11951.49059
ENSMUSG00000025533,Asl,0.000246694,-1.266587614,1842.818798,3545.504006,814.1694078,1945.120398,3891.932312,576.6720548,425.2291768,754.3315012,585.40761,658.8596068
ENSMUSG00000037944,Ccr7,5.08E-05,-1.267112825,26.35775574,22.46768639,16.54515351,33.41878283,23.30234721,6.763263787,2.939186441,8.922151986,7.496863947,7.492636144
ENSMUSG00000030144,Clec4d,0.000107595,-1.267342134,47.62673434,44.27681234,19.31517657,40.13850575,54.06257277,17.87343948,4.986308603,16.06056473,10.6488237,8.505269604
ENSMUSG00000043432,Leng9,5.65E-09,-1.2709561,55.28168779,78.03564096,42.93338807,39.11695456,94.5177314,18.54004315,15.5631205,16.10097005,11.47072779,19.98660176
