Gene,GF1,GF2,GF3,GF4,GF5,BIF1,BIF2,BIF3,BIF4,BIF5
ENSMUSG00000026749,438.1896991,262.8697551,460.6541144,331.472322,234.2732784,338.8160632,208.5007427,305.3620744,212.1180097,430.9808894
ENSMUSG00000026750,1854.910189,2001.102474,2079.015303,2188.894379,2347.324903,2410.113214,2554.57176,2651.585525,2334.073375,2361.978811
ENSMUSG00000026751,0,0,0.919175195,0,0,0,0,0,0,0
ENSMUSG00000026753,327.700248,251.7154557,318.5070841,330.4887954,276.7391118,404.8413675,347.8005501,300.654498,369.5305499,306.7520159
ENSMUSG00000026754,89.39258383,82.17284246,76.86371812,60.88819621,96.22371074,115.1634455,118.4886572,88.61804675,93.67292334,86.70065535
ENSMUSG00000026755,203.5219242,205.5759747,190.2883722,239.2199802,198.4179826,172.2867493,183.6177193,176.7306386,175.7700858,209.1479543
ENSMUSG00000026761,102.9435738,88.59312319,100.6011519,104.8863263,61.794458,87.6245262,149.1129834,112.3471403,82.98044236,121.5680666
ENSMUSG00000026764,0.851014979,0.448329448,2.142513796,0.185317175,0.074735718,0.122605064,0.431277001,3.52667168,1.512433557,0
ENSMUSG00000026765,0.596451756,0,0.337543557,0,0.214900007,0,0,0,0,0
ENSMUSG00000026766,399.9258147,460.1513314,430.8213093,422.9652783,535.0494349,367.2138764,355.6863691,368.8832538,359.872704,435.8458678
ENSMUSG00000026767,93.27983675,111.6809125,83.05324791,124.5916653,94.12456037,103.3332551,126.5719226,85.47085558,102.5098817,90.98395926
ENSMUSG00000026768,23.6163662,15.34524168,19.58699541,16.38298399,10.98907886,20.33290843,15.132779,18.89800013,22.9730543,15.49610362
ENSMUSG00000026770,0.223965582,2.36501962,0,0.960610944,1.394842216,0,0.458258124,0.537106573,0.211164761,0.494660231
ENSMUSG00000026771,77.15380417,138.6954615,72.28011307,71.39390469,79.35711886,141.9868578,109.8607082,86.27623475,121.1698082,97.45304946
ENSMUSG00000026773,141.8686101,77.31647691,253.4421234,127.0800211,89.42395135,138.434053,75.90973729,189.4080927,105.0098038,167.2517206
ENSMUSG00000026774,1.303365338,0,0,0,0,0,0,0.771950537,0,0
ENSMUSG00000026775,151.010862,182.0350862,176.6785565,155.3647714,164.958317,187.9488486,187.2614593,175.6642241,171.7044964,179.5463169
ENSMUSG00000026778,116.349966,94.37596256,50.00579712,123.8589013,70.09516673,65.86235412,53.65416901,86.38053477,56.93007616,54.25270178
ENSMUSG00000026779,72.76952618,80.18373981,70.17465084,62.65866331,76.19714303,112.8799967,139.195691,87.3919213,120.2520201,77.24390673
ENSMUSG00000026781,347.8768204,355.065101,330.6443392,351.1437032,347.0992963,321.559273,258.3893623,289.7475337,288.1015144,341.908409
ENSMUSG00000026782,57.68473921,53.30293478,52.64354442,50.14610471,75.86023031,77.22304404,57.24054551,47.37712736,57.95215856,54.39294059
ENSMUSG00000026784,28.23652866,34.51972148,31.4000827,29.11136248,36.97334418,21.5405196,40.4805411,36.10938129,26.07730911,37.24980184
ENSMUSG00000026785,21.75059794,23.78522338,32.83352304,22.5284644,16.31570969,32.64308885,15.94262552,30.48899787,35.3223255,35.86720241
ENSMUSG00000026786,412.8814586,444.64343,350.8357709,387.5241571,449.4866614,479.9904791,496.0766044,418.5467597,505.8641107,467.7266208
ENSMUSG00000026787,0,0,0,0.524906189,0,0.537814292,0.538601153,0,0,0
ENSMUSG00000026788,65.86942232,92.06082108,96.6558682,61.50505319,90.10767664,83.60026274,74.39763259,78.87726476,84.36826483,71.1518999
ENSMUSG00000026790,463.1929032,530.3259001,411.2002624,359.9963277,468.7525456,554.9717743,833.9374569,548.7411896,786.1714593,556.5766453
ENSMUSG00000026791,41.65290618,49.92358625,38.89881591,70.7365609,43.62013921,23.87743185,25.36481652,31.63363223,28.92033426,29.95543663
ENSMUSG00000026792,15.63192405,8.365905938,7.484446971,11.00656985,11.39938805,9.444403298,10.28502987,7.259796683,10.16936026,9.235970051
ENSMUSG00000026796,120.565616,75.12298368,83.60778209,101.131411,73.88789184,71.90321457,50.62485643,81.54576226,69.22872393,79.19960165
ENSMUSG00000026797,118.328048,118.8067643,87.77866744,127.8618475,82.29019679,84.57981989,74.27941201,81.35303867,80.5449769,76.22221855
ENSMUSG00000026798,52.98416077,40.40183811,74.5675603,82.8084698,73.11164997,48.4804903,60.9698172,59.45403568,43.51904952,53.35429343
ENSMUSG00000026799,36.0824916,32.40846979,36.1854302,32.41840319,35.565288,34.67553082,28.98004645,30.14000528,28.95253081,32.65364609
